epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.071,0.42942,3.22818,0.9681,0.67365,0.32157,0.41028,0.39151,0.29781,1.42292,0.95511,0.00019488,0.00019488,0.00019488
2,789.909,0.2639,1.29184,0.85006,0.6563,0.86575,0.87042,0.85925,0.15677,0.78452,0.92323,0.000313486,0.000313486,0.000313486
3,1172.65,0.21774,0.91292,0.83306,0.95004,0.94403,0.9768,0.96408,0.1918,0.6128,0.99357,0.000354476,0.000354476,0.000354476
4,1543.08,0.19095,0.75332,0.82729,0.97381,0.97274,0.99257,0.99189,0.11288,0.54528,0.99109,0.000238728,0.000238728,0.000238728
5,1909.54,0.16935,0.64885,0.82693,0.98589,0.98279,0.99469,0.99469,0.12249,0.47172,0.99104,0.000122304,0.000122304,0.000122304
