epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.781,0.43044,3.22471,0.96892,0.8046,0.35113,0.45635,0.42645,0.31246,1.38139,0.95477,0.00019488,0.00019488,0.00019488
2,761.285,0.26193,1.29247,0.8499,0.78013,0.79643,0.89072,0.87723,0.15679,0.78817,0.93663,0.000313486,0.000313486,0.000313486
3,1131.65,0.21434,0.90314,0.83302,0.85023,0.95938,0.90349,0.90344,0.177,0.58031,1.00459,0.000354476,0.000354476,0.000354476
4,1504.63,0.1952,0.75518,0.82672,0.90704,0.97846,0.97808,0.97807,0.12937,0.53422,0.99646,0.000238728,0.000238728,0.000238728
5,1891.47,0.16942,0.66773,0.8261,0.928,0.98604,0.99218,0.9914,0.11991,0.50066,0.99496,0.000122304,0.000122304,0.000122304
