epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.341,0.44204,3.30164,0.97329,0.83821,0.23111,0.33931,0.32242,0.3124,1.66524,0.95311,0.00019488,0.00019488,0.00019488
2,779.858,0.26591,1.44623,0.85019,0.54515,0.55729,0.61807,0.61791,0.1248,1.00379,0.91686,0.000313486,0.000313486,0.000313486
3,1144.91,0.21911,1.00236,0.83427,0.74828,0.79994,0.82447,0.82437,0.17102,0.72281,0.97492,0.000354476,0.000354476,0.000354476
4,1511.31,0.19124,0.79615,0.82679,0.88954,0.93154,0.92695,0.92694,0.11701,0.58128,0.97958,0.000238728,0.000238728,0.000238728
5,1874.6,0.17029,0.6927,0.82619,0.90524,0.97575,0.94784,0.94784,0.12709,0.50086,0.99088,0.000122304,0.000122304,0.000122304
