epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.135,0.443,3.31206,0.97424,0.88438,0.27862,0.36233,0.34005,0.2954,1.83013,0.96365,0.00019488,0.00019488,0.00019488
2,907.182,0.26758,1.4365,0.85076,0.74582,0.60049,0.73293,0.73039,0.15402,0.96121,0.91094,0.000313486,0.000313486,0.000313486
3,1297.08,0.22444,1.00263,0.83473,0.77385,0.88106,0.89606,0.89,0.1838,0.67938,0.9746,0.000354476,0.000354476,0.000354476
4,1697.58,0.19903,0.79179,0.82834,0.88023,0.97185,0.93889,0.93833,0.12803,0.60773,0.96252,0.000238728,0.000238728,0.000238728
5,2079.97,0.17261,0.68919,0.82636,0.89968,0.99169,0.94742,0.94673,0.13337,0.52511,0.98087,0.000122304,0.000122304,0.000122304
